starts fetching pub dev stats...
Fetching data for 10/250 packages ...
Fetching data for 20/250 packages ...
Fetching data for 30/250 packages ...
Fetching data for 40/250 packages ...
Fetching data for 50/250 packages ...
Fetching data for 60/250 packages ...
Fetching data for 70/250 packages ...
Fetching data for 80/250 packages ...
Fetching data for 90/250 packages ...
Fetching data for 100/250 packages ...
Fetching data for 110/250 packages ...
Fetching data for 120/250 packages ...
Fetching data for 130/250 packages ...
Fetching data for 140/250 packages ...
Fetching data for 150/250 packages ...
Fetching data for 160/250 packages ...
Fetching data for 170/250 packages ...
Fetching data for 180/250 packages ...
Fetching data for 190/250 packages ...
Fetching data for 200/250 packages ...
Fetching data for 210/250 packages ...
Fetching data for 220/250 packages ...
Fetching data for 230/250 packages ...
Fetching data for 240/250 packages ...
Fetching data for 250/250 packages ...
┌─────────┬──────────────────────────────────┬───────┬────────┬────────────┬────────────┬──────────────┬───────────────────────────────────┬────────────────────────┐
│ (index) │               name               │ likes │ health │ popularity │ isNullSafe │ isFlutterFav │              version              │       developer        │
│   43    │       'modal_bottom_sheet'       │  971  │  120   │     99     │    true    │    false     │              '2.0.0'              │   'jaimeblasco.com'    │
│   44    │          'device_info'           │  969  │  120   │     99     │    true    │     true     │              '2.0.0'              │     'flutter.dev'      │
│   45    │     'flutter_native_splash'      │  939  │  130   │     97     │    true    │    false     │             '1.1.8+4'             │    'jonhanson.net'     │
│   46    │              'bloc'              │  934  │  130   │     99     │    true    │     true     │              '7.0.0'              │   'bloclibrary.dev'    │
│   47    │        'sliding_up_panel'        │  918  │  100   │     98     │   false    │    false     │              '1.0.2'              │   'akshathjain.com'    │
│   48    │          'fluttertoast'          │  912  │  130   │     99     │    true    │    false     │              '8.0.6'              │  'karthikponnam.dev'   │
│   49    │        'pull_to_refresh'         │  912  │  110   │     99     │   false    │    false     │              '1.6.5'              │       undefined        │
│   50    │         'google_sign_in'         │  893  │  120   │     99     │    true    │    false     │              '5.0.2'              │     'flutter.dev'      │
│   51    │       'flutter_screenutil'       │  877  │  130   │     98     │    true    │    false     │              '5.0.0'              │       undefined        │
│   52    │       'simple_animations'        │  873  │  130   │     99     │    true    │    false     │              '3.1.1'              │  'felix-blaschke.de'   │
│   53    │      'introduction_screen'       │  874  │  120   │     97     │    true    │    false     │              '2.1.0'              │       undefined        │
│   54    │           'photo_view'           │  868  │  130   │     99     │    true    │    false     │             '0.11.1'              │    'fireslime.xyz'     │
│   55    │     'flutter_secure_storage'     │  837  │  120   │     99     │    true    │    false     │              '4.2.0'              │       undefined        │
│   56    │          'video_player'          │  838  │  130   │     99     │    true    │    false     │              '2.1.1'              │     'flutter.dev'      │
│   57    │         'firebase_core'          │  825  │  120   │    100     │    true    │    false     │              '1.0.4'              │ 'firebase.google.com'  │
