
A total of 23/250 top packages come from Google
┌─────────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┐
│ (index) │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │
│   176   │            'mockito'             │  341  │   90   │     98     │   true   │  false   │             '5.0.7'              │       'dart.dev'       │
│   177   │     'flutter_facebook_login'     │  337  │   90   │     98     │  false   │  false   │             '3.0.0'              │       'iiro.dev'       │
│   178   │             'dartz'              │  333  │   90   │     98     │  false   │  false   │    '0.9.20.10.0-nullsafety.1'    │       undefined        │
│   179   │    'flutter_barcode_scanner'     │  328  │  120   │     97     │   true   │  false   │             '2.0.0'              │       undefined        │
│   180   │     'flutter_image_compress'     │  327  │  120   │     98     │   true   │  false   │             '1.0.0'              │       undefined        │
│   181   │     'awesome_notifications'      │  325  │  110   │     92     │   true   │  false   │            '0.0.6+3'             │       'carda.me'       │
│   182   │        'dropdown_search'         │  325  │  130   │     98     │   true   │  false   │             '0.5.0'              │       undefined        │
│   183   │     'android_alarm_manager'      │  325  │  110   │     94     │   true   │   true   │             '2.0.0'              │     'flutter.dev'      │
│   184   │        'socket_io_client'        │  319  │  130   │     97     │   true   │  false   │ '1.0.02.0.0-beta.4-nullsafety.0' │       undefined        │
│   185   │          'flutter_mobx'          │  317  │  130   │     98     │   true   │   true   │             '2.0.0'              │ 'dart.pixelingene.com' │
│   186   │          'reorderables'          │  316  │  120   │     96     │   true   │  false   │             '0.4.1'              │       undefined        │
│   187   │              'moor'              │  315  │  120   │     97     │   true   │  false   │             '4.2.1'              │    'simonbinder.eu'    │
│   188   │        'email_validator'         │  312  │  130   │     98     │   true   │  false   │             '2.0.1'              │       undefined        │
│   189   │             'floor'              │  310  │  110   │     95     │   true   │  false   │             '1.1.0'              │       undefined        │
│   190   │              'lint'              │  308  │  130   │     95     │   true   │  false   │             '1.5.3'              │   'pascalwelsch.com'   │
│   191   │         'flutter_webrtc'         │  307  │  110   │     95     │   true   │  false   │             '0.6.3'              │       undefined        │
│   192   │          'grouped_list'          │  305  │  130   │     96     │   true   │  false   │             '4.0.0'              │      'begnis.dev'      │
│   193   │          'after_layout'          │  305  │  120   │     98     │   true   │  false   │             '1.1.0'              │ 'fluttercommunity.dev' │
│   194   │          'built_value'           │  304  │  130   │     99     │   true   │   true   │             '8.0.5'              │      'google.dev'      │
│   195   │         'admob_flutter'          │  304  │   80   │     96     │  false   │  false   │    '1.0.12.0.0-nullsafety.1'     │       undefined        │
│   196   │        'graphql_flutter'         │  304  │   75   │     97     │  false   │  false   │    '4.0.15.0.0-nullsafety.2'     │     'zinoapp.com'      │
│   197   │        'flutter_markdown'        │  303  │  130   │     98     │   true   │  false   │             '0.6.1'              │       undefined        │
│   198   │              'rive'              │  299  │  110   │     97     │   true   │  false   │             '0.7.5'              │       'rive.app'       │
│   199   │        'states_rebuilder'        │  299  │  130   │     97     │   true   │  false   │            '4.0.0+1'             │       undefined        │
│   200   │       'firebase_ml_vision'       │  298  │  120   │     97     │   true   │  false   │            '0.12.0+1'            │ 'firebase.google.com'  │
│   201   │        'adaptive_dialog'         │  298  │  130   │     95     │   true   │  false   │            '0.10.0+5'            │     'mono0926.com'     │
│   202   │          'splashscreen'          │  298  │  100   │     98     │  false   │  false   │             '1.3.5'              │      'dplyr.dev'       │
│   203   │        'flutter_linkify'         │  296  │  120   │     97     │   true   │  false   │             '5.0.2'              │     'cretezy.com'      │
│   204   │   'mask_text_input_formatter'    │  295  │  100   │     98     │  false   │  false   │    '1.2.12.0.0-nullsafety.2'     │       undefined        │
│   205   │         'better_player'          │  294  │  120   │     96     │   true   │  false   │             '0.0.65'             │       undefined        │
│   206   │ 'material_design_icons_flutter'  │  294  │   90   │     98     │  false   │  false   │     '4.0.59555.0.5955-rc.1'      │       undefined        │
│   207   │            'upgrader'            │  293  │  120   │     95     │   true   │  false   │             '3.2.1'              │    'larryaasen.com'    │
│   208   │       'fab_circular_menu'        │  290  │  120   │     95     │   true   │  false   │             '1.0.2'              │       undefined        │
│   209   │      'country_code_picker'       │  289  │  130   │     98     │   true   │  false   │             '2.0.1'              │       undefined        │
│   210   │           'octo_image'           │  287  │  130   │     99     │   true   │  false   │            '1.0.0+1'             │     'baseflow.com'     │
│   211   │           'dash_chat'            │  287  │   90   │     94     │  false   │  false   │             '1.1.15'             │       undefined        │
│   212   │         'stripe_payment'         │  284  │  100   │     97     │   true   │  false   │             '1.1.0'              │       undefined        │
│   213   │       'onesignal_flutter'        │  281  │   90   │     98     │  false   │  false   │        '2.6.33.0.0-beta3'        │       undefined        │
│   214   │      'intro_views_flutter'       │  280  │  130   │     94     │   true   │  false   │             '3.1.0'              │   'ayushagarwal.ml'    │
│   215   │           'flip_card'            │  280  │  130   │     96     │   true   │  false   │             '0.5.0'              │       undefined        │
│   216   │  'flutter_snake_navigationbar'   │  279  │  130   │     92     │   true   │  false   │             '0.5.0'              │     'herodot.com'      │
│   217   │ 'syncfusion_flutter_datepicker'  │  277  │  130   │     97     │   true   │  false   │          '19.1.58-beta'          │    'syncfusion.com'    │
│   218   │             'pinput'             │  276  │  130   │     97     │   true   │  false   │             '1.2.0'              │       'fman.ge'        │
│   219   │      'flutter_unity_widget'      │  275  │   90   │     92     │  false   │  false   │             '4.1.0'              │      'xraph.com'       │
│   220   │             'dartx'              │  275  │  130   │     95     │   true   │  false   │             '0.7.1'              │       undefined        │
│   221   │      'flutter_inner_drawer'      │  275  │  110   │     94     │   true   │  false   │            '1.0.0+1'             │       'dn-a.dev'       │
│   222   │         'speech_to_text'         │  270  │   90   │     96     │  false   │  false   │     '3.2.04.1.1-nullsafety'      │     'csdcorp.com'      │
│   223   │    'data_connection_checker'     │  271  │   90   │     98     │  false   │  false   │             '0.3.4'              │       undefined        │
│   224   │          'settings_ui'           │  263  │  120   │     96     │   true   │  false   │             '1.0.0'              │       'yako.io'        │
│   225   │     'firebase_dynamic_links'     │  262  │  120   │     99     │   true   │  false   │             '2.0.2'              │ 'firebase.google.com'  │
│   226   │   'syncfusion_flutter_gauges'    │  261  │  130   │     95     │   true   │  false   │            '19.1.58'             │    'syncfusion.com'    │
│   227   │       'smooth_star_rating'       │  261  │  100   │     98     │  false   │  false   │             '1.1.1'              │       undefined        │
│   228   │         'flutter_redux'          │  260  │  130   │     97     │   true   │   true   │             '0.8.2'              │    'brianegan.com'     │
│   229   │             'bubble'             │  260  │  120   │     96     │   true   │  false   │             '1.2.1'              │       undefined        │
│   230   │    'flutter_custom_clippers'     │  260  │  110   │     96     │  false   │  false   │             '1.1.2'              │    'dlohani.com.np'    │
│   231   │      'flutter_easyrefresh'       │  259  │  130   │     95     │   true   │  false   │             '2.2.1'              │       undefined        │
│   232   │             'qrscan'             │  258  │  105   │     95     │   true   │  false   │             '0.3.1'              │       undefined        │
│   233   │         'sticky_headers'         │  251  │  120   │     98     │   true   │  false   │             '0.2.0'              │ 'fluttercommunity.dev' │
│   234   │         'in_app_update'          │  251  │   90   │     96     │   true   │  false   │             '2.0.0'              │       'ffuf.de'        │
│   235   │         'dotted_border'          │  249  │  130   │     98     │   true   │  false   │             '2.0.0'              │       undefined        │
│   236   │              'wave'              │  249  │  120   │     95     │   true   │  false   │             '0.2.0'              │      'swift.fit'       │
│   237   │     'liquid_pull_to_refresh'     │  249  │  120   │     94     │   true   │  false   │             '3.0.0'              │   'ayushagarwal.ml'    │
│   238   │            'battery'             │  248  │  110   │     95     │   true   │   true   │             '2.0.1'              │     'flutter.dev'      │
│   239   │     'flutter_sticky_header'      │  246  │  130   │     96     │   true   │  false   │             '0.6.0'              │   'romainrastel.com'   │
│   240   │            'catcher'             │  240  │  130   │     95     │   true   │  false   │             '0.6.5'              │       undefined        │
│   241   │           'story_view'           │  238  │   80   │     95     │  false   │  false   │   '0.12.80.13.0-nullsafety.1'    │    'degreat.co.uk'     │
│   242   │    'step_progress_indicator'     │  238  │  110   │     95     │  false   │  false   │   '0.2.5+81.0.0-nullsafety.0'    │  'sandromaglione.com'  │
│   243   │     'flutter_facebook_auth'      │  237  │  130   │     98     │   true   │  false   │            '3.3.3+1'             │      'meedu.app'       │
│   244   │ 'animated_bottom_navigation_bar' │  237  │  130   │     94     │   true   │  false   │             '0.3.2'              │       undefined        │
│   245   │      'searchable_dropdown'       │  237  │   80   │     96     │  false   │  false   │             '1.1.3'              │       undefined        │
│   246   │          'sliver_tools'          │  237  │  130   │     96     │   true   │  false   │             '0.2.2'              │  'pietervanloon.com'   │
│   247   │       'firebase_database'        │  235  │   90   │     99     │  false   │  false   │        '6.1.27.0.0-dev.2'        │ 'firebase.google.com'  │
│   248   │      'expansion_tile_card'       │  235  │  120   │     93     │   true   │  false   │             '2.0.0'              │     'skylled.dev'      │
│   249   │          'rate_my_app'           │  234  │  120   │     97     │   true   │  false   │            '1.1.0+1'             │      'skyost.eu'       │
└─────────┴──────────────────────────────────┴───────┴────────┴────────────┴──────────┴──────────┴──────────────────────────────────┴────────────────────────┘
