Google own a total of 25/250 top packages
│    5    │ 140  │   'firebase_analytics'   │  539  │  120   │     99     │   true   │  false   │ '8.3.1'  │ 'firebase.google.com' │  true   │ true │ false │ false │ true  │  false  │
│    6    │ 168  │  'firebase_crashlytics'  │  477  │  110   │     99     │   true   │   true   │ '2.2.1'  │ 'firebase.google.com' │  true   │ true │ false │ true  │ false │  false  │
│    7    │ 220  │ 'firebase_dynamic_links' │  356  │  120   │     99     │   true   │  false   │ '2.0.9'  │ 'firebase.google.com' │  true   │ true │ false │ false │ false │  false  │
└─────────┴──────┴──────────────────────────┴───────┴────────┴────────────┴──────────┴──────────┴──────────┴───────────────────────┴─────────┴──────┴───────┴───────┴───────┴─────────┘


State Management Packages
┌─────────┬──────┬────────────┬───────┬────────┬────────────┬──────────┬──────────┬───────────────────────┬────────────────────────┬─────────┬──────┬───────┬───────┬──────┬─────────┐
│ (index) │ rank │    name    │ likes │ health │ popularity │ nullSafe │ endorsed │        version        │       developer        │ android │ ios  │ linux │ macos │ web  │ windows │
├─────────┼──────┼────────────┼───────┼────────┼────────────┼──────────┼──────────┼───────────────────────┼────────────────────────┼─────────┼──────┼───────┼───────┼──────┼─────────┤
│    0    │  1   │   'get'    │ 6071  │  130   │     99     │   true   │  false   │        '4.3.8'        │      'getx.site'       │  true   │ true │ true  │ true  │ true │  true   │
│    1    │  2   │ 'provider' │ 4989  │  130   │    100     │   true   │   true   │        '6.0.0'        │  'dash-overflow.net'   │  true   │ true │ true  │ true  │ true │  true   │
│    2    │  47  │  'rxdart'  │ 1294  │  125   │    100     │   true   │   true   │       '0.27.2'        │ 'fluttercommunity.dev' │  true   │ true │ true  │ true  │ true │  true   │
│    3    │  57  │   'bloc'   │ 1142  │  130   │     99     │   true   │   true   │  '7.1.07.2.0-dev.1'   │   'bloclibrary.dev'    │  true   │ true │ true  │ true  │ true │  true   │
│    4    │  68  │ 'riverpod' │  996  │  130   │     98     │   true   │  false   │ '0.14.0+31.0.0-dev.7' │       undefined        │  true   │ true │ true  │ true  │ true │  true   │
│    5    │ 109  │   'mobx'   │  674  │  120   │     98     │   true   │   true   │        '2.0.4'        │ 'dart.pixelingene.com' │  true   │ true │ true  │ true  │ true │  true   │
└─────────┴──────┴────────────┴───────┴────────┴────────────┴──────────┴──────────┴───────────────────────┴────────────────────────┴─────────┴──────┴───────┴───────┴──────┴─────────┘


Top 250 Flutter Packages
┌─────────┬──────┬──────────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬───────────────────────────────────┬────────────────────────┬─────────┬───────┬───────┬───────┬───────┬─────────┐
│ (index) │ rank │               name               │ likes │ health │ popularity │ nullSafe │ endorsed │              version              │       developer        │ android │  ios  │ linux │ macos │  web  │ windows │
├─────────┼──────┼──────────────────────────────────┼───────┼────────┼────────────┼──────────┼──────────┼───────────────────────────────────┼────────────────────────┼─────────┼───────┼───────┼───────┼───────┼─────────┤
│    0    │  1   │              'get'               │ 6071  │  130   │     99     │   true   │  false   │              '4.3.8'              │      'getx.site'       │  true   │ true  │ true  │ true  │ true  │  true   │
│    1    │  2   │            'provider'            │ 4989  │  130   │    100     │   true   │   true   │              '6.0.0'              │  'dash-overflow.net'   │  true   │ true  │ true  │ true  │ true  │  true   │
│    2    │  3   │       'shared_preferences'       │ 3976  │  130   │    100     │   true   │   true   │              '2.0.7'              │     'flutter.dev'      │  true   │ true  │ true  │ true  │ true  │  true   │
