
A total of 24/250 top packages come from Google
┌─────────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┐
│ (index) │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │
│    1    │            'provider'            │ 4345  │  130   │    100     │   true   │   true   │              '5.0.0'              │  'dash-overflow.net'   │
│    2    │       'shared_preferences'       │ 3332  │  130   │    100     │   true   │   true   │              '2.0.6'              │     'flutter.dev'      │
│    3    │              'http'              │ 2744  │  130   │    100     │   true   │  false   │             '0.13.3'              │       'dart.dev'       │
│    4    │          'url_launcher'          │ 2599  │  130   │    100     │   true   │   true   │              '6.0.6'              │     'flutter.dev'      │
│    5    │           'animations'           │ 2474  │  120   │     98     │   true   │  false   │              '2.0.0'              │     'flutter.dev'      │
│    6    │          'flutter_bloc'          │ 2301  │  130   │     99     │   true   │   true   │              '7.0.1'              │   'bloclibrary.dev'    │
│    7    │              'dio'               │ 2218  │  130   │     99     │   true   │  false   │              '4.0.0'              │  'flutterchina.club'   │
│    8    │          'google_fonts'          │ 2152  │  130   │     99     │   true   │   true   │              '2.1.0'              │     'material.io'      │
│    9    │     'flutter_launcher_icons'     │ 2134  │   80   │     99     │   true   │  false   │              '0.9.0'              │ 'fluttercommunity.dev' │
│   10    │          'image_picker'          │ 2084  │  130   │    100     │   true   │  false   │             '0.8.0+1'             │     'flutter.dev'      │
│   11    │        'flutter_slidable'        │ 1985  │  120   │     99     │   true   │   true   │        '0.6.01.0.0-dev.2'         │   'romainrastel.com'   │
│   12    │  'flutter_local_notifications'   │ 1899  │  120   │     99     │   true   │   true   │        '6.0.07.0.0-dev.1'         │     'dexterx.dev'      │
│   13    │              'hive'              │ 1820  │  130   │     99     │   true   │  false   │              '2.0.4'              │      'hivedb.dev'      │
│   14    │      'cached_network_image'      │ 1802  │  110   │    100     │   true   │  false   │       '3.0.03.1.0-alpha.1'        │     'baseflow.com'     │
│   15    │           'geolocator'           │ 1796  │  130   │     99     │   true   │   true   │              '7.0.3'              │     'baseflow.com'     │
│   16    │            'sqflite'             │ 1749  │  120   │    100     │   true   │   true   │             '2.0.0+3'             │     'tekartik.com'     │
│   17    │        'carousel_slider'         │ 1683  │  110   │     99     │  false   │  false   │     '3.0.04.0.0-nullsafety.0'     │     'serenader.me'     │
│   18    │         'path_provider'          │ 1607  │  120   │    100     │   true   │   true   │              '2.0.2'              │     'flutter.dev'      │
│   19    │       'animated_text_kit'        │ 1571  │  130   │     98     │   true   │   true   │              '4.2.1'              │   'ayushagarwal.ml'    │
│   20    │              'intl'              │ 1561  │  120   │    100     │   true   │   true   │             '0.17.0'              │       'dart.dev'       │
│   21    │            'fl_chart'            │ 1546  │  120   │     99     │   true   │  false   │             '0.36.1'              │    'ikhoshabi.com'     │
